,Description,TotalSalesDollars,ProfitMargin
282,Antinori Orvieto Clsc Campo,8881.82,42.35956144123614
284,Antinori Tignanello,9115.97,48.28273897347183
288,Antiquary 12 Yr Old Scotch,134.94,24.23299244108493
289,Anton Bauer Gmork Rose,167.88,34.66761972837741
290,Apaltagua Envero Gran Rsv,750.5,8.892738174550301
291,Apaltagua Rose Carmenere,7671.02,30.4559237233119
293,Apimed Old Slavic Mead Dark,953.0999999999999,34.93862134088762
294,Apimed Old Slavic Mead Light,635.4,39.093484419263454
295,Apimed Slovak Mead,464.58,38.163502518403725
296,Apimed Trnava Mead,335.7,40.12511170688114
302,Apple Orchard Liqueur,2017.98,90.2090209020902
306,Aquilon 06 Garnacha de Borja,629.93,90.60213039544075
307,Aquinas Cab Svgn,3592.35,90.42409564769581
308,Aquinas Napa Chard,643.54,85.31559809802033
309,Aquitania Cab Svgn,2526.42,7.556938276296106
310,Arabella Chard,131.88,33.75796178343949
313,Arca Nova Rose,263.76,31.028207461328485
315,Archetype Shiraz/Cab Barossa,142.89000000000001,26.76884316607181
317,Ardbeg Auriverdes Scotch,3959.58,82.65220048591011
319,Ardbeg Dark Cove Com Release,7259.34,21.982990189190748
324,Aresti Pnt Nr Curico Vly,94.81,96.54044931969202
325,Argentiera Poggio Ginerpi Bo,227.88,32.43812532912059
326,Argiano Non Confunditur Rsso,263.88,35.470668485675304
327,Argiola Costera Isola dei N,149.85,45.945945945945944
328,Argiolas SerraLori Rose 13,503.4,33.77830750893921
331,Arindo Verdejo Rueda,708.37,63.71387834041532
333,Armand Kabinett Rsl,577.6999999999999,46.40817033062142
334,Armand de Brignac Brut Rose,9239.78,51.836082677293184
336,Armorik Single Malt Whiskey,1199.8,96.24020670111686
337,Arnaldo Caprai Grecante Grec,1614.1499999999999,4.618529876405522
340,Arrogant Frog Chardonnay,239.76,67.51751751751752
341,Arrogant Frog Pnt Nr,2607.39,35.385960673316994
342,Arrow Apricot Brandy,575.28,24.280350438047563
344,Arrow Blackraspberry Liqueur,383.52,20.650813516896118
345,Arrow Blue Curacao,4554.3,23.705509079331627
350,Arrow Creme de Strawberry,3835.2,34.85372340425531
356,Arrowood Cab Svgn Sonoma Vly,8667.01,30.575942568429028
357,Arrowood Sonoma Est Cab Svgn,1766.96,26.603884638022375
362,Art of Eart Montepulciano d',2160.89,61.296502829852514
365,Artesa Elements Napa Red,744.3299999999999,2.8992516760039133
366,Asamai Shuzo Heavens Door,119.96,1.3171057019006323
369,Aska Bolgheri Rosso,434.84999999999997,28.876624123260896
370,Assyrtiko-Athiri Atlantis,191.88,33.771106941838646
371,Astraly Touraine Nobel Rose,89.94,31.02068045363576
372,Aszu Royal Tokaji 5 Puttony,9098.050000000001,19.63519655310754
373,Atalon Cab Svgn Napa,1589.47,55.90228189270638
374,Atalon Pauline's Cuvee Red N,2358.8199999999997,90.5804597213861
375,Atalon Svgn Bl Napa Valley,2118.94,63.47230218883026
376,Atamisque Assemblage,5344.38,27.63426253372702
378,Atholl Brose Scotch Liqueur,329.94,27.532278596108384
379,Atlas Peak Cab Svgn,559.84,60.80308659617034
382,Attitude 13 Rose Jolivet,2350.32,88.79641921100105
383,Au Bon Climate Pnt Nr,2155.02,22.770090300786077
387,Auchentoshan Classic Scotch,359.88,94.4009114149161
389,Austin Cocktails Vodkarita,2353.43,91.54128229860245
392,Avante Tinto Fino Ribera Del,892.53,32.43812532912059
393,Aveleda Follies,3429.36,90.13810156997224
395,Aviary Chard,215.88,42.301278488048915
396,Aviary Red Blend,5894.719999999999,16.0625101786005
398,Avion Espresso,202.93,39.97930320800276
400,Avion Tasting Flight 3/375mL,9852.960000000001,46.84927169094364
402,Ayala Brut Majeur,8117.150000000001,24.956542628878363
403,Ayala Rose Majeur,2607.56,60.66437589163816
404,B & B Dom VAP,1319.48,97.25497923424379
406,B & G CDP Rose,2572.73,14.260726932091586
407,B & G Cotes du Rhone Red,155.88,49.03772132409546
408,B & G Pnt Nr Bistro,6114.81,34.73877356778053
409,B & G Sancerre Svgn Bl,243.91,15.329424787831572
410,B & G Sauternes,6997.139999999999,34.170818362931136
414,B Side Cab Svgn,887.63,1.5806135439315903
415,B Side Napa Vly Red,1259.46,46.73907865275595
416,BR Cohn Olive Hill Cab Svgn,99.98,33.32666533306662
418,BV Beaurouge Red,6880.41,84.39366258696793
422,BV Coastal Estate Moscato,164.85,57.77979981801637
424,BV Coastal Estate Red,450.59,1.5690539070995793
