,ProfitMargin
189,21.77659071973499
190,24.490972406788167
191,17.449919641029705
192,17.38034671328823
193,23.940138256965998
194,23.06312485040131
195,20.307801443020107
196,41.51134637490006
197,45.28782231954839
198,27.660070838548776
199,25.795898603787727
200,29.203356850567896
201,27.61703386272247
202,22.20868566548761
203,33.56654900843241
204,27.178611191364883
205,31.545150324632953
206,22.347443183039513
207,33.096810308494675
208,17.218805420686397
209,15.830801947950004
210,41.48729628134901
211,22.054982839308597
212,27.703354097346477
213,18.39626008298385
214,22.180004481170524
215,19.447236118189956
216,33.59758268597282
217,36.79340776325926
218,25.481206638264357
219,35.135672027947415
220,37.00830542600876
221,33.104552663754475
222,28.13041374241454
223,35.48641876420682
224,21.308377529874498
225,47.22250676821425
226,25.461759066714823
227,20.326948778459677
228,21.360586556180948
229,27.39637464229572
230,28.292533398144204
231,23.88099704613839
232,26.328511973973246
233,25.509985898573113
234,24.899577646313162
235,32.60534727206972
236,37.8448729115833
237,31.37217183983522
238,34.94519946782656
239,39.99204945054975
240,34.2727416399745
241,30.230493202626928
242,9.13012785149992
243,27.75661321583926
244,25.386173682309472
245,32.19148092861391
246,44.953402680877524
247,24.289721654238022
248,35.88206171282125
249,28.391909418512572
250,27.372142989116572
251,40.21156872409355
252,29.40094878824339
253,29.70751809115797
254,36.60340957714338
255,34.65203442217885
256,39.163597128542904
257,26.164961196466983
258,38.78106863566328
259,33.58989095534764
260,39.34007716220693
261,21.420342043606368
262,41.09459434861435
263,33.199947626553325
264,33.18510458857352
265,32.21584073236865
266,24.28743329746193
267,37.122015890483425
268,6.80570499759621
269,25.36695596199116
270,19.5713774633992
271,37.19537069811038
272,31.56346345546756
273,40.20280133124866
274,29.3412469387121
275,25.937195371151034
276,22.45312868300742
277,25.946952228273233
278,36.226042625555294
279,27.461729814465208
280,33.40426806989862
281,52.22969747956851
282,27.45134540487012
283,38.25820730958367
284,41.369020267659316
285,27.00865683600605
286,29.676917084079946
287,25.949476739378884
288,46.98446222301728
289,20.09118656695494
290,25.973062567110883
291,8.358970973328987
292,36.63121454395365
293,44.05310598337614
294,22.077165598306696
295,20.14331745590527
296,34.51724049915104
297,30.827478388447986
298,12.219933670343043
299,24.352697281312224
300,28.06737090465808
301,20.06958334815479
302,38.73052560676167
303,37.870274453053476
304,17.170860720849255
305,45.74584108556441
306,23.012078268080057
307,26.855660097428103
308,23.33909406179529
309,24.321921988847002
310,23.765910440370863
311,24.57131999795546
312,30.230825592194826
313,37.59845870537441
314,29.88318274349842
315,41.63869102936819
316,33.56481889486208
317,28.714948905986653
318,22.315265182274352
319,28.985601137866766
320,37.132472352822575
321,7.360457592182788
322,41.65950590974669
323,28.018683937483868
324,26.463888355582537
325,23.543180323805764
326,23.67710851388737
327,29.492903178495894
328,32.70740652576778
